"fk_archief","fk_publicatie"
"2","23"
"2","24"
"3","6"
"3","23"
"4","8"
"4","32"
"5","34"
"5","43"
"6","25"
"6","26"
"7","30"
"10","47"
"12","6"
"12","9"
"12","10"
"12","11"
"12","12"
"12","13"
"12","14"
"12","15"
"12","16"
"12","17"
"12","18"
"12","19"
"12","44"
"12","71"
"13","9"
"13","10"
"13","16"
"13","50"
"13","52"
"13","65"
"15","56"
"15","57"
"15","73"
"17","6"
"17","24"
"17","31"
"19","33"
"19","34"
"20","6"
"20","18"
"20","59"
"20","60"
"20","61"
"21","17"
"21","19"
"21","36"
"21","37"
"22","15"
"23","24"
"23","44"
"23","45"
"24","29"
"24","35"
"24","41"
"24","66"
"24","67"
"24","68"
"24","69"
"24","70"
"28","17"
"28","19"
"28","36"
"28","37"
"38","24"
"38","30"
"38","44"
"38","47"
"41","80"
"41","82"
