"id","datering_begin","datering_eind","naam","app_state","datum_gewijzigd","gewijzigd_door"
"1","2002-08-30","2002-09-03","Amphilex 2002","1","2004-10-20","Trudi"
"4","1970-00-00","1970-00-00","Klankteksten Konkrete poëzie Visuele teksten","1","2005-10-11","Karin"
"5","1971-00-00","1971-00-00","Atelier 8","1","2007-09-03","KvdH"
"6","1986-00-00","1986-00-00","Geprogrammeerde grafiek","1","2005-10-11","Karin"
"7","1996-00-00","1996-00-00","Prenten in reliëf","1","2005-10-11","Karin"
"8","1993-00-00","1993-00-00","Die Neue Sammlung","1","2005-10-11","Suzanne"
"10","1983-00-00","1983-00-00","Ontwerp Total Design","1","2005-11-01","Karin"
"11","1983-00-00","1983-00-00","Het konstante streven","1","2005-11-01","Karin"
"12","1984-00-00","1984-00-00","Teksten in papier","1","2005-11-01","Karin"
"13","1984-00-00","1984-00-00","Papierplastieken","1","2005-11-01","Karin"
"14","1986-00-00","1986-00-00","Papierkunst","1","2005-11-01","Karin"
"15","1987-00-00","1987-00-00","Onvolmaakt Geheugen","1","2005-11-01","Karin"
"16","2002-00-00","2002-00-00","Children are the Rhythm of the World","1","2006-03-20","Suzanne"
"18","1988-00-00","1988-00-00","Ben Bos, 25 jaar Total Designer","1","2006-03-14","Suzanne"
"20","1981-00-00","1981-00-00","GVN groepstentoonstelling","1","2006-03-14","Suzanne"
"21","1980-00-00","1980-00-00","AGI groepstentoonstelling München","1","2006-03-14","Suzanne"
"22","1982-00-00","1982-00-00","AGI groepstentoonstelling Montreal","1","2006-03-14","Suzanne"
"23","1984-00-00","1984-00-00","AGI groepstentoonstelling Gargonza","1","2006-03-14","Suzanne"
"24","2001-00-00","2001-00-00","AGI groepstentoonstelling Parijs","1","2006-03-14","Suzanne"
"25","2002-00-00","2002-00-00","AGI groepstentoonstelling San Francisco","1","2006-03-14","Suzanne"
"26","2003-00-00","2003-00-00","AGI groepstentoonstelling Helsinki","1","2006-03-14","Suzanne"
"27","2002-00-00","2002-00-00","Europa 2020","1","2006-03-20","Suzanne"
"28","1975-03-04","1975-00-00","otto treumann graphic designer","1","2009-01-23","Bernadine Ypma"
"29","1945-00-00","1945-00-00","Weerbare Democratie","1","2009-01-26","Linda Kool"
"30","1969-00-00","1969-00-00","Overzichtstentoonstelling Werkmanprijs","1","2009-01-26","Linda Kool"
"31","1975-00-00","1975-00-00","Jan Bons, affiches","1","2009-01-26","Linda Kool"
"32","1993-00-00","1993-00-00","Jan Bons en Benno Wissing","1","2009-01-26","Linda Kool"
"33","2008-03-08","2008-05-12","90 affiches van Jan Bon","1","2009-01-26","Linda Kool"
"34","2008-03-08","2008-05-12","90 affiches van Jan Bons","1","2009-02-09","Linda Kool"
"35","1963-07-06","1963-09-29","150 jaar Nederlandse Kunst","1","2009-05-11","Bernadine Ypma"
"36","1995-08-09","1995-10-03","Andreu Ledoux","1","2009-07-03","Bernadine Ypma"
"37",NULL,NULL,"Nieuwe tentoonstelling","0",NULL,NULL
