"Periode","Term","Uri",
"Wederopbouw (1945-1958)","wederopbouw","http://www.wikidata.org/entity/Q3422086",
,"Marshallhulp",,
,"Rooms-rode coalitie","http://www.wikidata.org/entity/Q2712072",
,"oprichting EEG",,
,"dekolonisatie",,"https://www.cultureelwoordenboek.nl/geschiedenis-nederland-vanaf-1945/indonesie-en-nederland"
,"invoering AOW",,
,"massamedia",,
,"Willem Drees",,
,,,
"Welvaartsstaat (1958-1970)","verzorgingsstaat","http://www.wikidata.org/entity/Q192451","http://data.bibliotheken.nl/id/thes/p091481155"
,"Kinderbijslag",,
,"Bijstand",,
,"massaproductie",,
,,,
"Protest (1965-1970)","Provo","http://data.bibliotheken.nl/id/thes/p078638607",
,"Vietnamoorlog",,
,"hippies",,
,"flower power",,
,"woodstock","http://data.beeldengeluid.nl/gtaa/73598",
,"tweede Feministische golf",,
,"Joke Smit",,
,"Baas in eigen buik",,
,,,
"Crisisjaren (1970-1979)","oliecrisis",,
,"stakingen",,
,"mijnsluiting",,
,"opkomst minicomputer",,
,"rapport van Rome",,
,"Molukse treinkapingen",,"https://www.cultureelwoordenboek.nl/geschiedenis-nederland-vanaf-1945/treinkapingen"
,"autoloze zondag",,
,"punk","http://data.bibliotheken.nl/id/thes/p078640873",
,"new wave",,
,"kleurentelevisie",,
,"Joop den Uyl",,"https://www.cultureelwoordenboek.nl/geschiedenis-nederland-vanaf-1945/joop-den-uyl"
,"lockheed",,"https://www.cultureelwoordenboek.nl/geschiedenis-nederland-vanaf-1945/lockheed-affaire"
,,,
,,,
"Poldermodel (1980-1989)","antikruisraketten",,
,"Ruud Lubbers",,
,"val van de muur",,
,,,
,,,
,,,
"Digitale revolutie (1990-1999)","srebrenica","http://data.beeldengeluid.nl/gtaa/42883",
,"Wim Kok","http://data.beeldengeluid.nl/gtaa/118295",
,"Paarse coalitie","http://data.beeldengeluid.nl/gtaa/65388",
